,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
7104,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2021,96.289742637527,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7105,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2020,95.9578093461551,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7106,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2019,95.6274361480504,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7107,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2018,95.2185731124327,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7108,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2017,94.8111570681682,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7109,UZ,Uzbekistan,People using at least basic drinking water services (% of population),2016,94.4080439802707,Europe & Central Asia,Lower middle income,Blend,69.269,41.3052
7110,VU,Vanuatu,People using at least basic drinking water services (% of population),2024,,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7111,VU,Vanuatu,People using at least basic drinking water services (% of population),2023,,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7112,VU,Vanuatu,People using at least basic drinking water services (% of population),2022,91.3375162948399,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7113,VU,Vanuatu,People using at least basic drinking water services (% of population),2021,90.9130173544929,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7114,VU,Vanuatu,People using at least basic drinking water services (% of population),2020,90.4890274363613,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7115,VU,Vanuatu,People using at least basic drinking water services (% of population),2019,90.0654259004521,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7116,VU,Vanuatu,People using at least basic drinking water services (% of population),2018,89.6425504538262,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7117,VU,Vanuatu,People using at least basic drinking water services (% of population),2017,89.2202767864432,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7118,VU,Vanuatu,People using at least basic drinking water services (% of population),2016,88.7988178142367,East Asia & Pacific,Lower middle income,IDA,168.321,-17.7404
7119,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2024,,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7120,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2023,,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7121,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2022,93.3316109894304,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7122,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2021,93.5087058493878,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7123,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2020,93.6858007093452,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
